Energy (eV),Efficiency %,Efficiency % Uncertainty
500.0,0.11048825847096165,0.05889741472126944
501.0,0.11148524458691039,0.05912152203950757
502.0,0.1124842361163243,0.0593435077651781
503.0,0.11348514702867243,0.059563351732096544
504.0,0.11448793307078899,0.05978105342501925
505.0,0.11549255022382143,0.05999661263809381
506.0,0.11649895470698546,0.06021002946925567
507.0,0.11750710298118854,0.06042130431465954
508.0,0.11851695175252303,0.06063043786314979
509.0,0.11952845797562628,0.06083743109076563
510.0,0.12054157885691714,0.06104228525528854
511.0,0.1215562718577049,0.06124500189082795
512.0,0.12257249469717499,0.06144558280244952
513.0,0.12359020535525383,0.061644030060844866
514.0,0.12460936207535524,0.061840345997046436
515.0,0.12562992336700798,0.06203453319718518
516.0,0.12665184800836862,0.06222659449729428
517.0,0.12767509504862395,0.062416532978159106
518.0,0.12869962381027597,0.06260435196021365
519.0,0.12972539389132706,0.0627900549984853
520.0,0.13075236516734678,0.06297364587758669
521.0,0.1317804977934445,0.06315512860675794
522.0,0.1328097522061304,0.06333450741495732
523.0,0.13384008912508047,0.06351178674600255
524.0,0.1348714695548,0.06368697125376231
525.0,0.13590385478618947,0.06386006579739888
526.0,0.13693720639801585,0.06403107543666205
527.0,0.1379714862582902,0.06420000542723528
528.0,0.13900665652555197,0.06436686121613325
529.0,0.14004267965006734,0.06453164843715238
530.0,0.14107951837493402,0.06469437290637355
531.0,0.14211713573710505,0.0648550406177184
532.0,0.1431554950683244,0.06501365773855793
533.0,0.14419455999598155,0.06517023060537484
534.0,0.1452342944438875,0.06532476571947943
535.0,0.1462746626329644,0.06547726974277793
536.0,0.14731562908186846,0.06562774949359622
537.0,0.14835715860752635,0.06577621194255497
538.0,0.14939921632560554,0.0659226642085001
539.0,0.15044176765090936,0.06606711355448666
540.0,0.15148477829769855,0.06620956738381473
541.0,0.15252821427995109,0.06635003323612103
542.0,0.15357204191154739,0.0664885187835228
543.0,0.15461622780639134,0.06662503182681442
544.0,0.10922635006314615,0.05043549053895442
545.0,0.11011148805208988,0.05060522124759911
546.0,0.11099816999399482,0.05077345739236851
547.0,0.11188636884401872,0.05094020111205095
548.0,0.11277604354858933,0.05110544826022985
549.0,0.11366716716188059,0.051269201233476835
550.0,0.11455970831380421,0.051431460499906156
551.0,0.1154020533445175,0.05157401339629925
552.0,0.1162453609795499,0.05171514098730184
553.0,0.11708965336970703,0.05185486303238191
554.0,0.11793490410316927,0.05199318210751138
555.0,0.11878108693589629,0.0521301009060262
556.0,0.11962817579253787,0.0522656222361844
557.0,0.1204761447672972,0.052399749018747825
558.0,0.12132496812474766,0.052532484284590154
559.0,0.12217462030060089,0.052663831172329464
560.0,0.1230250759024304,0.052793792925986946
561.0,0.12387630971035138,0.052922372892671175
562.0,0.12472829667765228,0.05304957452028665
563.0,0.12558101193139012,0.05317540135527055
564.0,0.12643443077293437,0.05329985704035222
565.0,0.12728852867847884,0.05342294531234122
566.0,0.1281432812995055,0.05354466999993921
567.0,0.1289986644632115,0.05366503502157831
568.0,0.1298546541728993,0.05378404438328577
569.0,0.13071122660831974,0.05390170217657319
