Theory ,,,,,,Experiment,,,,,,,,
,,,,,,Fitted parameters ,,,,,,Calibration ,,
Element,Spectroscopic Charge,Relative Intensity,Lower level,Upper level,Energy [eV],Energy,Energy uncertainty [eV],Relative Intensity [arb],Relative Intensity Uncertainty,FWHM,FWHM uncertainty,Statistical uncertainty [eV],Calibration uncertainty [eV],Systematic uncertainty [eV]
